"","SiteNum","Land2005","Land2006","Land2007","Land2009","Land2010","grandSum"
"1",769,408.1991268,1434.552427,480.4217785,1043.885556,2209.676802,5576.735691
"2",770,1404.828739,1426.944986,253.5785604,1389.20469,1027.94891,5502.505885
"3",742,374.3328454,422.554185,137.6976114,170.1060377,147.269895,1251.960574
"4",615,75.94436605,222.2046402,144.0239732,548.905984,41.84634762,1032.925311
"5",712,88.89826113,12.86199887,170.2578551,315.2631791,380.4942112,967.7755053
"6",544,8.365035035,5.004931195,1,501.0090459,41.92421946,557.3032316
"7",297,211.0177606,246.0022647,47.43820243,32,NA,536.4582277
"8",748,56.30451775,NA,NA,345.5803345,25.00288627,426.8877385
"9",384,NA,327.0894701,4,6,4.709786379,341.7992565
"10",526,4,254,NA,8.003787218,NA,266.0037872
"11",551,NA,233,NA,2,NA,235
"12",338,26.04989719,18.00234437,159.6348549,11.72700803,5,220.4141045
"13",716,NA,NA,NA,164,3,167
"14",709,51.03842402,2,93,NA,NA,146.038424
"15",869,NA,NA,1,12.00075091,116.0051297,129.0058806
"16",613,NA,NA,NA,121,NA,121
"17",749,79.04525495,NA,NA,NA,NA,79.04525495
"18",537,NA,NA,NA,76.03654637,NA,76.03654637
"19",725,60,NA,3.000841067,4.032765261,NA,67.03360633
"20",614,4.018970531,NA,NA,4.007805888,53.02721815,61.05399457
"21",241,1.008238891,NA,NA,9,51,61.00823889
"22",619,2.594633665,NA,1.770090676,NA,50,54.36472434
"23",717,42,NA,NA,2.666666667,5.73426792,50.40093459
"24",545,NA,NA,NA,NA,49.053868,49.053868
"25",730,47.54825003,NA,NA,NA,NA,47.54825003
"26",115,NA,NA,44,NA,NA,44
"27",3312,NA,NA,NA,NA,36.18214427,36.18214427
"28",1532,NA,NA,NA,33,NA,33
"29",346,NA,NA,0.825743741,NA,24.0086959,24.83443965
"30",457,14,4,NA,NA,NA,18
"31",713,2,2,8,1.00045469,4.475258001,17.47571269
"32",504,2.002287648,NA,NA,NA,14,16.00228765
"33",594,10,NA,NA,NA,NA,10
"34",114,NA,NA,9.27031629,NA,NA,9.27031629
"35",744,NA,8,NA,NA,NA,8
"36",550,NA,NA,7.362491352,NA,NA,7.362491352
"37",540,NA,NA,NA,2.5,NA,2.5
"38",620,NA,NA,1.020312875,NA,NA,1.020312875
